Time,R (Referência),VM,VP,VT
8.74,-1,0,-1,0
8.75,-1,0,-1,0
8.76,-1,0,-1,0
8.77,-1,0,-1,0
8.78,-1,0,-1,0
8.79,-1,0,-1,0
8.8,-1,0,-1,0
8.81,-1,0,-1,0
8.82,-1,0,-1,0
8.83,-1,0,-1,0
8.84,-1,0,-1,0
8.85,-1,0,-1,0
8.86,-1,0,-1,0
8.87,-1,0,-1,0
8.88,-1,0,-1,0
8.89,-1,0,-1,0
8.9,-1,0,-1,0
8.91,-1,0,-1,0
8.92,-1,0,-1,0
8.93,-1,0,-1,0
8.94,-1,0,-1,0
8.95,-1,0,-1,0
8.96,-1,0,-1,0
8.97,-1,0,-1,0
8.98,-1,0,-1,0
8.99,-1,0,-1,0
9,-1,0,-1,0
9.01,-1,0,-1,0
9.02,-1,0,-1,0
9.03,-1,0,-1,0
9.04,-1,0,-1,0
9.05,-1,0,-1,0
9.06,-1,0,-1,0
9.07,-1,0,-1,0
9.08,-1,0,-1,0
9.09,-1,0,-1,0
9.1,-1,0,-1,0
9.11,-1,0,-1,0
9.12,-1,0,-1,0
9.13,-1,0,-1,0
9.14,-1,0,-1,0
9.15,-1,0,-1,0
9.16,-1,0,-1,0
9.17,-1,0,-1,0
9.18,-1,0,-1,0
9.19,-1,0,-1,0
9.2,-1,0,-1,0
9.21,-1,0,-1,0
9.22,-1,0,-1,0
9.23,-1,0,-1,0
9.24,-1,0,-1,0
9.25,-1,0,-1,0
9.26,-1,0,-1,0
9.27,-1,0,-1,0
9.28,-1,0,-1,0
9.29,-1,0,-1,0
9.3,-1,0,-1,0
9.31,-1,0,-1,0
9.32,-1,0,-1,0
9.33,-1,0,-1,0
9.34,-1,0,-1,0
9.35,-1,0,-1,0
9.36,-1,0,-1,0
9.37,-1,0,-1,0
9.38,-1,0,-1,0
9.39,-1,0,-1,0
9.4,-1,0,-1,0
9.41,-1,0,-1,0
9.42,-1,0,-1,0
9.43,-1,0,-1,0
9.44,-1,0,-1,0
9.45,-1,0,-1,0
9.46,-1,0,-1,0
9.47,-1,0,-1,0
9.48,-1,0,-1,0
9.49,-1,0,-1,0
9.5,-1,0,-1,0
9.51,-1,0,-1,0
9.52,-1,0,-1,0
9.53,-1,0,-1,0
9.54,-1,0,-1,0
9.55,-1,0,-1,0
9.56,-1,0,-1,0
9.57,-1,0,-1,0
9.58,-1,0,-1,0
9.59,-1,0,-1,0
9.6,-1,0,-1,0
9.61,-1,0,-1,0
9.62,-1,0,-1,0
9.63,-1,0,-1,0
9.64,-1,0,-1,0
9.65,-1,0,-1,0
9.66,-1,0,-1,0
9.67,-1,0,-1,0
9.68,-1,0,-1,0
9.69,-1,0,-1,0
9.7,-1,0,-1,0
9.71,-1,0,-1,0
9.72,-1,0,-1,0
9.73,-1,0,-1,0
9.74,-1,0,-1,0
9.75,-1,0,-1,0
9.76,-1,0,-1,0
9.77,-1,0,-1,0
9.78,-1,0,-1,0
9.79,-1,0,-1,0
9.8,-1,0,-1,0
9.81,-1,0,-1,0
9.82,-1,0,-1,0
9.83,-1,0,-1,0
9.84,-1,0,-1,0
9.85,-1,0,-1,0
9.86,-1,0,-1,0
9.87,-1,0,-1,0
9.88,-1,0,-1,0
9.89,-1,0,-1,0
9.9,-1,0,-1,0
9.91,-1,0,-1,0
9.92,-1,0,-1,0
9.93,-1,0,-1,0
9.94,-1,0,-1,0
9.95,-1,0,-1,0
9.96,-1,0,-1,0
9.97,-1,0,-1,0
9.98,-1,0,-1,0
9.99,-1,0,-1,0
